key,de-DE,en-US
custom.data.type.iconclass.name,Iconclass-Verknüpfung,Iconclass-Link
custom.data.type.iconclass.edit.button|icon,edit,edit
custom.data.type.iconclass.remove.button|icon,trash,trash
custom.data.type.iconclass.config.option.mask.editor_style.value.inline,Eingebettet,embedded
custom.data.type.iconclass.config.parameter.mask.editor_style.value.label,Editor-Stil,Editor-Style
custom.data.type.iconclass.config.option.mask.editor_style.value.popover,Popover,Popover
custom.data.type.iconclass.config.option.mask.editor_style.value.dropdown,Dropdown,Dropdown
custom.data.type.iconclass.config.option.mask.editor_style.value.popover_with_treeview,Popover mit Baumansicht,Popover with treeview
custom.data.type.iconclass.modal.form.url.placeholder,Iconclass-Verknüpfung,Iconclass-Link
custom.data.type.iconclass.modal.form.text.label,Text,Text
custom.data.type.iconclass.edit.modal.title|text,Mit Vokabulareintrag verknüpfen,Link with Vocabulary-Entry
custom.data.type.iconclass.edit.no_valid_iconclass,Keine valide Datensatz-Verknüpfung,No valid Record-Link
custom.data.type.iconclass.edit.no_iconclass,Keine Datensatz-Verknüpfung gesetzt,No Record-Link set
custom.data.type.iconclass.modal.form.text.count,Anzahl Vorschläge,Count of suggestions
custom.data.type.iconclass.modal.form.text.searchbar,Suchbegriff eingeben,Type searchterm
custom.data.type.iconclass.modal.form.text.searchbar.placeholder, tippen ... ,type sth. ...
custom.data.type.iconclass.modal.form.text.result.label,Gewählter Eintrag,Choosen entry
custom.data.type.iconclass.modal.form.text.result.placeholder,noch leer,empty
custom.data.type.iconclass.modal.form.text.uri.label,Zugehörige URI,Choosen URI
custom.data.type.iconclass.modal.form.text.uri.label.placeholder,noch leer,empty
custom.data.type.iconclass.modal.form.popup.suggest.nohit,Kein Treffer,No hit
custom.data.type.iconclass.url.tooltip,zu **%(name)s** springen,jump to **%(name)s**
custom.data.type.iconclass.modal.form.popup.preview.preflabel,Bezeichnung,Label
custom.data.type.iconclass.modal.form.popup.preview.keywords,Schlagwörter,Keywords
custom.data.type.iconclass.modal.form.popup.no_information_found,Keine Information gefunden,no information found
custom.data.type.iconclass.modal.form.popup.loadingstring,Lade ..,loading ..
custom.data.type.iconclass.modal.form.loadingSuggestions,Lade Vorschläge,loading suggestions
custom.data.type.iconclass.edit.no_entry,Kein Eintrag,No entry
custom.data.type.iconclass.edit.no_valid_entry,Kein valider Eintrag,No valid entry
custom.data.type.iconclass.modal.form.popup.choose,Eintrag aus dem iconclass-Baum wählen,Choose entry from iconclass-tree
custom.data.type.iconclass.modal.form.popup.treeviewreset,Baum zurücksetzen,Reset tree
custom.data.type.iconclass.modal.form.popup.add_choose,Eintrag wählen,Choose entry
custom.data.type.iconclass.modal.form.popup.loadingstringtreeview,Lade Baumansicht,loading treeview
server.config.name.system.update_interval_iconclass,iconclass-Update-Einstellungen,iconclass-Update-Configuration
server.config.parameter.system.update_interval_iconclass.days.label,"Tage zwischen Updates. Hinweis: Das Update sollte nicht automatisch aktiviert werden, sondern nur in bestimmten Fällen manuell gestartet werden.",Days between updates
server.config.parameter.system.update_interval_iconclass.default_language.label,Standard-Datensprache als Fallback (ISO 639-1),Default-data-language as fallback (ISO 639-1)
custom.data.type.iconclass.modal.form.popup.brackets.choose,Wähle einen Wert für die Klammern um fortzufahren,choose a value for the brackets to continue
custom.data.type.iconclass.modal.form.popup.brackets.select,Ausgewählt:,Selected:
server.config.group.system.plugin_custom-data-type-iconclass.title,ICONCLASS,ICONCLASS
server.config.group.system.plugin_custom-data-type-iconclass.introduction,Einstellungen für das ICONCLASS-Plugin,Settings for the ICONCLASS plugin
custom.data.type.iconclass.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display
custom.data.type.iconclass.config.option.mask.editor_display.value.default,Standard,Default
custom.data.type.iconclass.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner